Cadet PID,Year,Squadron,Major,Sec Major,Sport Code,Sport Gender
32741,2020,11,BehSci,No Major,TR,F
37076,2023,21,No Major,No Major,,
34727,2022,22,BioChem,No Major,SW,F
31739,2020,39,MSS,No Major,,
31741,2020,1,MSS,No Major,,
35239,2022,15,Management,No Major,,
35494,2022,27,Biology,No Major,FB,M
35970,2023,16,No Major,No Major,,
32026,2020,21,Management,No Major,,
34728,2022,23,No Major,No Major,,
33339,2021,30,AeroEngr,No Major,,
33340,2021,31,BehSci,No Major,,
34729,2022,38,No Major,No Major,SO,M
32742,2020,21,LegalStu,No Major,,
32743,2020,11,Economics,No Major,,
33341,2021,28,AstroEngr,No Major,,
36051,2023,17,No Major,No Major,,
35495,2022,18,No Major,No Major,FB,M
36052,2023,4,No Major,No Major,,
31742,2020,23,Economics,No Major,,
31077,2020,12,LegalStu,No Major,,
34730,2022,9,Management,No Major,LX,M
35496,2022,22,Management,No Major,,
36671,2023,8,No Major,No Major,,
36672,2023,16,No Major,No Major,,
34731,2022,33,CyberSci,No Major,,
33342,2021,37,Biology,No Major,TR,F
37192,2020,7,No Major,No Major,,
36053,2023,18,No Major,No Major,,
32744,2020,17,Management,No Major,,
34242,2021,40,GeoSci,No Major,WR,M
36967,2023,26,No Major,No Major,FB,M
34732,2022,32,No Major,No Major,,
36673,2023,2,No Major,No Major,,
36674,2023,7,No Major,No Major,FB,M
32745,2020,16,English,No Major,,
35497,2022,19,Management,No Major,LX,M
34733,2022,32,OpsRsch,No Major,SW,F
31744,2020,36,FAS-PolSci,No Major,,
32746,2020,9,Management,Philosophy,,
33344,2021,10,SysEngr,No Major,FB,M
33345,2021,34,Management,No Major,,
35475,2022,14,AeroEngr,No Major,,
34734,2022,15,CivEngr,No Major,,
32028,2020,2,Meteor,No Major,,
32378,2020,38,BehSci,No Major,,
36675,2023,3,No Major,No Major,DV,F
36676,2023,12,No Major,No Major,,
34735,2022,24,No Major,No Major,,
33346,2021,1,PolSci,No Major,,
33347,2021,8,Economics,No Major,,
32379,2020,22,Management,No Major,,
36054,2023,6,No Major,No Major,GY,F
33348,2021,2,GeoSci,No Major,,
36789,2023,17,No Major,No Major,FB,M
36790,2023,34,No Major,No Major,BA,M
36968,2023,26,No Major,No Major,FB,M
33349,2021,8,LegalStu,No Major,,
33350,2021,20,FAS-PolSci,No Major,,
